City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,arteche,12.2645,125.4048,26.78,89,3,1.8,PH,1724109351
166,khasab,26.1799,56.2477,30.35,69,94,2.77,OM,1724109352
167,digne-les-bains,44.0833,6.25,17.77,73,8,1.78,FR,1724109354
168,san patricio,28.017,-97.5169,33.97,40,16,6.47,US,1724109355
169,arkhangel'sk,64.5401,40.5433,14.06,100,75,2.0,RU,1724109356
170,hithadhoo,-0.6,73.0833,28.09,78,88,6.18,MV,1724109357
171,taitung city,22.7583,121.1444,27.15,83,75,0.51,TW,1724109358
172,okha,53.5739,142.9478,17.89,64,74,5.71,RU,1724109359
173,techiman,7.5862,-1.9414,23.32,85,100,2.72,GH,1724109360
174,sao joao da barra,-21.6403,-41.0511,24.05,77,21,12.25,BR,1724109362
175,port mathurin,-19.6833,63.4167,21.75,59,91,11.09,MU,1724109363
176,egilsstadir,65.2653,-14.3948,5.95,93,100,5.66,IS,1724109364
177,kayar,14.9192,-17.1211,26.53,85,93,5.04,SN,1724109366
178,argo,37.6333,22.7333,25.29,65,0,1.51,GR,1724109367
179,cape coast,5.1053,-1.2466,23.32,91,98,5.96,GH,1724109368
180,murghob,38.1702,73.9667,9.0,49,94,2.0,TJ,1724109370
181,port isabel,26.0734,-97.2086,33.02,75,0,6.17,US,1724109371
182,baymak,52.5933,58.3225,11.47,92,5,2.16,RU,1724109372
183,atafu village,-8.5421,-172.5159,28.17,77,36,9.81,TK,1724109373
184,anadyr,64.75,177.4833,13.28,58,20,6.0,RU,1724109374
185,longboat key,27.4125,-82.659,31.16,62,20,4.12,US,1724109375
186,montepuez,-13.1256,38.9997,18.96,78,15,3.16,MZ,1724109376
187,thunder bay,48.4001,-89.3168,19.34,43,1,2.04,CA,1724109104
188,nieves,15.3274,120.9485,25.38,90,100,1.02,PH,1724109379
189,boguchany,58.3814,97.4531,14.17,97,100,1.74,RU,1724109380
190,uliastay,47.7417,96.8444,14.37,72,96,1.11,MN,1724109381
191,undurkhaan,47.3194,110.6556,14.1,95,100,4.37,MN,1724109383
192,guayaramerin,-10.8368,-65.3614,32.59,30,98,1.33,BO,1724109384
193,khark,29.2614,50.3306,32.74,82,2,3.31,IR,1724109385
194,hechuan,29.9947,106.2572,27.3,74,2,0.48,CN,1724109387
195,dongcun,36.7767,121.1597,25.35,94,100,2.4,CN,1724109388
196,uchkeken,43.9378,42.5117,16.99,62,1,2.36,RU,1724109389
197,oxapampa,-10.5775,-75.4017,17.29,76,89,1.04,PE,1724109390
198,alice springs,-23.7,133.8833,19.75,34,0,0.0,AU,1724109391
199,kerikeri,-35.2268,173.9474,14.95,79,99,2.68,NZ,1724109392
200,juneau,58.3019,-134.4197,14.67,98,100,5.66,US,1724109393
201,brisas barra de suchiate,14.55,-92.2167,28.0,77,54,2.48,MX,1724109395
202,saudarkrokur,65.7461,-19.6394,5.22,97,100,4.46,IS,1724109396
203,isafjordur,66.0755,-23.124,3.45,88,34,1.47,IS,1724109397
204,ust-nera,64.5667,143.2,14.85,62,13,2.37,RU,1724109398
205,hakha,22.65,93.6167,17.96,99,100,0.5,MM,1724109399
206,ar ruways,24.1103,52.7306,34.96,48,90,2.88,AE,1724109400
207,domna,51.8971,113.1573,14.09,82,40,2.0,RU,1724109401
208,prokuplje,43.2342,21.5881,20.6,90,100,0.56,RS,1724109403
209,juru,5.312,100.4423,26.65,84,40,5.14,MY,1724109404
210,neiafu,-18.65,-173.9833,28.38,74,40,4.63,TO,1724109405
211,moose jaw,50.4001,-105.5344,30.79,41,99,5.02,CA,1724109122
212,labrador city,52.9463,-66.9114,11.95,66,75,11.18,CA,1724109313
213,tolanaro,-25.0319,46.9987,20.04,83,20,4.12,MG,1724109409
214,beau vallon,-20.4189,57.6953,21.13,64,75,5.14,MU,1724109412
